Column1,Column2,Column3,Column4,Column5,Column6,Column7,Column8,Column9,Column10,Column11,Column12
userName = 빨강,nameKart = 빨강색카트,ipKart = 192.168.3.197,sendPortKart = 7000,revPortKart = 7001,namePlayer = 배찌,ipPlayer = 192.168.3.14,sendPortPlayer = 8000,revPortPlayer = 8000,,,
현재구간,최초 연결시간,현재시간,왼쪽 모터상태,오른쪽 모터상태,방향변환값,변환된 컬러값,LUX,컬러R,컬러G,컬러B,raw방향값
0,66318,1215770,250,250,57.08,mdf,14,125,50,32,-57.08
0,66318,1216606,250,250,57.06,mdf,14,125,50,32,-57.06
0,66318,1217206,250,250,57.06,mdf,13,126,50,33,-57.06
0,66318,1218433,250,250,56.40,mdf,13,126,50,33,-56.40
0,66318,1219047,250,250,56.39,mdf,15,124,50,32,-56.39
0,66318,1220484,250,250,56.39,mdf,19,132,56,36,-56.39
